id,app_name,package_name,date_of_analysis,developer,category,number_of_downloads,data_safety_link,privacy_policy_link
401,MakeupPlus - Virtual Makeup,com.meitu.makeup,15-09-2023,MeituEve International Limited,Photography,50M+,https://play.google.com/store/apps/datasafety?id=com.meitu.makeup,https://api.meitu.com/privacy-policy/index.html?lang=en
402,Horror Frames Photo Editor,com.pavahainc.horrorframesphotoeditor,15-09-2023,Pavaha Lab,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.pavahainc.horrorframesphotoeditor,http://letapps.com/privacy.html
403,ALPHABET CALLING VIDEO LETTRE,com.videocall.alphabetlore_lettres,15-09-2023,lonaledelonns,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.videocall.alphabetlore_lettres,https://sites.google.com/view/exevideocall/home
404,Design Space for Cricut,com.codegradients.design.space.studio,15-09-2023,AppeZay,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.codegradients.design.space.studio,https://appezay-mobile-apps.webflow.io/privacy-policy
405,Voila AI Artist Cartoon Photo,com.wemagineai.voila,15-09-2023,Wemagine.AI,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.wemagineai.voila,https://www.wemagine.ai/privacypolicy
406,Foto Frame - Smart Photo Frame,com.moon.fotofram,15-09-2023,Moonwalker,Photography,500+,https://play.google.com/store/apps/datasafety?id=com.moon.fotofram,https://somejourney.info/privacy-policy/
407,Photo Blender : Pic Collage,com.xilli.photo.blending.photo.editing.app,15-09-2023,XEN Studios,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.xilli.photo.blending.photo.editing.app,http://xen-studios.com/privacy-policy.html
408,Foodie - Filter & Film Camera,com.linecorp.foodcam.android,15-09-2023,SNOW Corporation,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.linecorp.foodcam.android,https://terms.snow.me/FOODIE/privacy
409,InstaSquare: Photo Editor Grid,com.baiwang.instasquare,15-09-2023,Photo Editor Perfect Corp.,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.baiwang.instasquare,http://squarelite.photoeditorperfect.top/PrivacyPolicy/
411,LGBT Background,com.logramas.lgbtbackground,15-09-2023,Logra+,Photography,5K+,https://play.google.com/store/apps/datasafety?id=com.logramas.lgbtbackground,https://logramas.com/apps/privacy_policy_en.html
412,Gender Swap Face Swap &Changer,com.genderswap.face_changer,15-09-2023,solvedapps,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.genderswap.face_changer,https://solvedapps-privacypolicy.blogspot.com/2022/10/solved-apps-privacy-policy-your-privacy.html
413,AI Art Image Generator – GoArt,com.everimaging.goart,15-09-2023,AI Art Photo Editor | Everimaging Ltd.,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.everimaging.goart,https://nuls-mobile.fotor.com/mobile/goArt/privacy_en
416,Zoetropic - Photo in motion,br.com.zoetropic.free,15-09-2023,Zoemach Tecnologia,Photography,10M+,https://play.google.com/store/apps/datasafety?id=br.com.zoetropic.free,https://www.zoetropic.com.br/terms/
417,AirBrush - AI Photo Enhancer,air.brush.photoeditor.collagemaker.beautycam.sweet.selfiecamera.face.makeover,15-09-2023,Magic Cut Zone,Photography,100K+,https://play.google.com/store/apps/datasafety?id=air.brush.photoeditor.collagemaker.beautycam.sweet.selfiecamera.face.makeover,https://magiccutzone.wixsite.com/privacypolicy
418,Cartoon Photo Editor,com.gamebrain.cartoon,15-09-2023,Game Brain,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.gamebrain.cartoon,http://www.isystemgroup.org/gamebrain_policy.html
419,"Vintage Camera-Retro, Editor",com.camerafilter.ulook,15-09-2023,Analog Film Photo & Photo Editor & Camera,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.camerafilter.ulook,https://sites.google.com/site/privacypolicyjjtestnewapp/
420,Thermal Imaging Camera Sim 9,com.navicamtools.thermalcamera,15-09-2023,NaviCamTools,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.navicamtools.thermalcamera,https://sites.google.com/view/navicamtoolspolicy/home
421,Negative Image Scanner,com.movemore.negativeimage.lc,15-09-2023,Move More Solutions,Photography,5K+,https://play.google.com/store/apps/datasafety?id=com.movemore.negativeimage.lc,http://ec2-18-116-59-188.us-east-2.compute.amazonaws.com/MoveMoreSolution/PrivacyPolicy.html
422,Women Winter Outfit Suits,com.fashioncrazeapps.WomenWinterOutfitSuits,15-09-2023,fashion craze apps,Photography,1K+,https://play.google.com/store/apps/datasafety?id=com.fashioncrazeapps.WomenWinterOutfitSuits,https://fashioncrazeapps.blogspot.com/p/privacy-policy.html
423,PLP for pixellab - Presets,com.samirfutureit.plpforpixellab,15-09-2023,Samir Future it,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.samirfutureit.plpforpixellab,https://sites.google.com/view/plpforpixellab-presets/
424,Photo Slideshow with Music,com.opalsapps.photoslideshowwithmusic,15-09-2023,Opals Apps,Photography,50M+,https://play.google.com/store/apps/datasafety?id=com.opalsapps.photoslideshowwithmusic,https://docs.google.com/document/d/1LrShMQ5vDoWgzygdaxr2k0q3XMoVRuK6Czmd0iHu1yc/pub
425,Fotoshoto AI,com.app.selfy,15-09-2023,Vitara Apps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.app.selfy,https://sites.google.com/view/selfy-privacy-policy/home
426,INSTAX SQUARE Link,com.fujifilm.instaxSquareLink,15-09-2023,FUJIFILM Corporation,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.fujifilm.instaxSquareLink,http://www.fujifilm.com/privacy_policy/
428,kylie cosmetics,com.kyliecosmetics.kylie_jenner_cosmetics.amindk,15-09-2023,amindk,Photography,1K+,https://play.google.com/store/apps/datasafety?id=com.kyliecosmetics.kylie_jenner_cosmetics.amindk,https://172904.hostmypolicy.com/
429,BeautyAI - Perfect Selfies Cam,com.camera.galaxyx,15-09-2023,Kyeong Ah,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.camera.galaxyx,https://bearbellablog.wordpress.com/2017/06/22/privacy-policy/
430,Good Morning & Night Prayers,com.rr.goodmorningandnightprayers,15-09-2023,RR Mobile Apps,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.rr.goodmorningandnightprayers,https://rrmobileapps.blogspot.com/p/privacy-policy-this-is-privacy-policy.html
431,LogoLicious Add Your Logo App,com.olav.logolicious,15-09-2023,The Laughing Dutchmen,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.olav.logolicious,http://www.addyourlogoapp.com/privacy-policy
432,Birthday Photo Frame With Song,com.intech.birthdayvideomakerwithmusic.photoframe.birthdayvideo.videomaker.slideshow.birthdayframe,15-09-2023,In TechLab,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.intech.birthdayvideomakerwithmusic.photoframe.birthdayvideo.videomaker.slideshow.birthdayframe,https://sites.google.com/view/intech-lab/home
433,Logo Generator & Logo Maker,creator.logo.maker.scopic,15-09-2023,LIGHT CREATIVE LAB,Photography,1M+,https://play.google.com/store/apps/datasafety?id=creator.logo.maker.scopic,http://lightcreativelab.com/policy.html
434,Beauty Camera Face Editor App,com.selfie.beautycamera.makeup.pro,15-09-2023,Pic Artist Pro,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.selfie.beautycamera.makeup.pro,http://beautycamera.picartistpro.top/PrivacyPolicy/
435,Mega Photo,com.falstad.megaphotofree,15-09-2023,Paul Falstad,Photography,5M+,https://play.google.com/store/apps/datasafety?id=com.falstad.megaphotofree,https://www.iubenda.com/privacy-policy/8016345
436,Remove Unwanted Object,com.rugalluk.remove.unwanted.objects,15-09-2023,Rugalluk,Photography,500+,https://play.google.com/store/apps/datasafety?id=com.rugalluk.remove.unwanted.objects,https://pages.flycricket.io/remove-objects/privacy.html
437,Face Swap - Photo Face Swap,com.vysionapps.faceswap,15-09-2023,VysionApps,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.vysionapps.faceswap,https://www.iubenda.com/privacy-policy/7831612
438,Photo Eraser Unwanted Remover,com.ppn.unwantedremover.vs,15-09-2023,PPN Developers,Photography,1K+,https://play.google.com/store/apps/datasafety?id=com.ppn.unwantedremover.vs,http://adtubeservices.co.in/PPNDevelopers/privacy_policy.html
439,Logo Maker Plus - Logo Creator,com.logopit.logoplus,15-09-2023,Logopit - Logo Maker & Graphic Design Creator,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.logopit.logoplus,http://logopit.net/logopit-plus-privacy-policy.php
440,LINE Camera - Photo editor,jp.naver.linecamera.android,15-09-2023,LINE Corporation,Photography,100M+,https://play.google.com/store/apps/datasafety?id=jp.naver.linecamera.android,https://terms.snow.me/linecamera/privacy
441,Baby Photo Editor baby-Pics,photobaby.babypics.baby.photo.frames.photoeditor,15-09-2023,The Great God,Photography,100K+,https://play.google.com/store/apps/datasafety?id=photobaby.babypics.baby.photo.frames.photoeditor,https://thegreatgodapps.blogspot.com/2022/10/the-great-god-apps.html?m=1
442,WhiteGram - Frames for Photos,com.kyubid.apps.whitegram.whitegram,15-09-2023,KyuBid,Photography,10K+,https://play.google.com/store/apps/datasafety?id=com.kyubid.apps.whitegram.whitegram,http://kyubid.com/privacy.html
